SERIAL_NUMBER,CHANNEL1_ME,CHANNEL1_PE,CHANNEL2_ME,CHANNEL2_PE,VALID_SINCE
29,0.986200,+0.001400,0.986200,+0.001400,2017-11-21
29,0.987800,-0.000224,0.987800,-0.000224,2018-07-03
32,0.986200,+0.003400,0.986200,+0.003400,2014-07-15
32,0.987000,+0.001280,0.987000,+0.001280,2016-09-09
32,0.982700,+0.002953,0.982700,+0.002953,2021-01-04
32,0.982900,+0.002201,0.982900,+0.002201,2021-02-16
33,0.981400,-0.001700,0.981400,-0.001700,2017-08-08
34,0.987700,-0.000327,0.987700,-0.000327,2018-07-17
37,0.978200,-0.001389,0.978200,-0.001389,2014-06-03
37,0.985200,-0.002241,0.985200,-0.002241,2014-07-15
37,0.988600,-0.001965,0.988600,-0.001965,2014-09-25
37,0.984300,-0.000683,0.984300,-0.000683,2015-08-13
37,0.988100,+0.002557,0.988100,+0.002557,2016-09-09
37,0.988100,+0.001853,0.988100,+0.001853,2017-03-17
37,0.987300,+0.001759,0.987300,+0.001759,2017-05-15
37,0.987200,+0.001826,0.987200,+0.001826,2017-07-25
37,0.988000,+0.001771,0.988000,+0.001771,2017-09-20
37,0.988200,+0.002000,0.988200,+0.002000,2017-10-11
37,0.987500,+0.001770,0.987500,+0.001770,2017-11-21
37,0.983700,+0.002044,0.983700,+0.002044,2018-01-25
37,0.982600,+0.001929,0.982600,+0.001929,2018-11-12
37,0.982600,+0.003163,0.982600,+0.003163,2019-04-23
37,0.982300,+0.002088,0.982300,+0.002088,2020-12-29
37,0.981300,+0.001135,0.981300,+0.001135,2021-01-05
37,0.980500,+0.001501,0.980500,+0.001501,2021-02-18
37,0.982400,+0.001824,0.982400,+0.001824,2021-02-19
37,0.981300,+0.001541,0.981300,+0.001541,2021-02-23
37,0.980900,+0.001517,0.980900,+0.001517,2021-02-24
37,0.982400,+0.002088,0.982400,+0.002088,2021-02-25
37,0.982100,+0.001701,0.982100,+0.001701,2021-02-26
37,0.981700,+0.002104,0.981700,+0.002104,2021-03-03
37,0.981700,+0.002255,0.981700,+0.002255,2021-03-04
37,0.982000,+0.000597,0.982000,+0.000597,2021-03-05
37,0.983700,+0.001140,0.983700,+0.001140,2021-03-08
37,0.982100,+0.001676,0.982100,+0.001676,2021-03-09
37,0.982300,+0.002094,0.982300,+0.002094,2021-03-10
37,0.982700,+0.002034,0.982700,+0.002034,2021-03-11
37,0.982500,+0.002161,0.982500,+0.002161,2021-03-12
37,0.983300,+0.001725,0.983300,+0.001725,2021-03-15
37,0.983000,+0.002191,0.983000,+0.002191,2021-03-17
37,0.982700,+0.001840,0.982700,+0.001840,2021-03-18
37,0.982400,+0.001824,0.982400,+0.001824,2021-03-19
38,0.978400,+0.000900,0.978400,+0.000900,2014-07-15
39,0.981100,-0.000500,0.981100,-0.000500,2014-07-15
39,0.979200,-0.002300,0.979200,-0.002300,2016-09-09
39,0.981600,-0.002440,0.981600,-0.002440,2017-02-10
39,0.979200,-0.002988,0.979200,-0.002988,2020-07-22
39,0.984300,-0.002601,0.984300,-0.002601,2022-05-30
41,0.983500,+0.000100,0.983500,+0.000100,2014-07-15
41,0.984000,-0.002494,0.984000,-0.002494,2017-05-15
42,0.975200,+0.003900,0.975200,+0.003900,2016-07-28
42,0.983600,+0.002447,0.983600,+0.002447,2019-04-02
44,0.972800,-0.005602,0.972800,-0.005602,2017-02-28
45,0.984500,+0.003400,0.984500,+0.003400,2017-02-25
45,0.984700,+0.001866,0.984700,+0.001866,2017-07-25
46,0.985900,+0.000993,0.985900,+0.000993,2017-07-25
50,0.983900,+0.002300,0.983900,+0.002300,2017-03-17
50,0.988000,+0.001203,0.988000,+0.001203,2021-02-18
51,0.984700,+0.001700,0.984700,+0.001700,2014-12-04
51,0.987700,+0.000823,0.987700,+0.000823,2019-01-22
51,0.990100,-0.002350,0.990100,-0.002350,2021-08-02
52,0.985400,+0.004800,0.985400,+0.004800,2017-03-17
52,0.986500,+0.004455,0.986500,+0.004455,2018-11-13
53,0.983000,+0.002500,0.983000,+0.002500,2017-03-17
53,0.989100,+0.000584,0.989100,+0.000584,2018-11-12
59,0.988600,+0.002900,0.988600,+0.002900,2017-06-30
59,0.985100,+0.001716,0.985100,+0.001716,2021-01-25
61,0.989200,-0.001082,0.989200,-0.001082,2015-08-05
62,0.979900,+0.004075,0.979900,+0.004075,2016-01-21
63,0.985300,+0.001100,0.985300,+0.001100,2016-01-21
63,0.988500,+0.001434,0.988500,+0.001434,2017-12-19
65,0.987200,+0.001057,0.987200,+0.001057,2016-05-10
69,0.986300,+0.003000,0.986300,+0.003000,2017-07-10
69,0.987600,+0.002075,0.987600,+0.002075,2019-10-15
70,0.978900,+0.004659,0.978900,+0.004659,2016-08-02
72,0.997500,+0.001792,0.997500,+0.001792,2017-02-08
75,0.996900,+0.002442,0.996900,+0.002442,2017-05-15
76,1.021000,-0.000313,1.021000,-0.000313,2017-06-08
77,0.987100,+0.000233,0.987100,+0.000233,2017-09-26
80,0.986500,-0.002753,0.986500,-0.002753,2018-04-17
80,0.986100,-0.012950,0.986100,-0.012950,2020-06-04
80,0.988600,-0.011440,0.988600,-0.011440,2021-11-17
81,0.991800,+0.001715,0.991800,+0.001715,2018-11-12
81,0.989800,+0.003007,0.989800,+0.003007,2020-06-04
81,0.992800,+0.003160,0.992800,+0.003160,2021-02-26
82,0.984100,+0.002818,0.984100,+0.002818,2018-07-16
83,0.988100,+0.005742,0.988100,+0.005742,2018-05-02
83,0.988300,+0.006970,0.988300,+0.006970,2019-08-08
83,0.987000,+0.006456,0.987000,+0.006456,2021-10-28
84,0.986200,+0.001000,0.986200,+0.001000,2018-03-27
84,0.987100,+0.000828,0.987100,+0.000828,2020-06-04
85,0.987600,+0.002500,0.987600,+0.002500,2017-12-19
85,0.989400,+0.000950,0.989400,+0.000950,2018-10-25
86,0.984500,+0.001965,0.984500,+0.001965,2018-01-10
88,0.983200,+0.000700,0.983200,+0.000700,2018-03-05
88,0.986900,-0.001827,0.986900,-0.001827,2019-11-29
88,0.984700,-0.000219,0.984700,-0.000219,2021-11-17
91,0.985900,+0.001310,0.985900,+0.001310,2018-02-26
92,0.980600,+0.004200,0.980600,+0.004200,2018-05-15
92,0.983800,+0.004053,0.983800,+0.004053,2019-12-17
94,0.980800,+0.000974,0.980800,+0.000974,2018-06-18
95,0.982000,-0.000238,0.982000,-0.000238,2018-06-19
96,0.985000,+0.002800,0.985000,+0.002800,2018-11-09
96,0.984000,+0.001917,0.984000,+0.001917,2019-09-17
97,0.985200,-0.000600,0.985200,-0.000600,2018-11-09
97,0.988900,+0.000029,0.988900,+0.000029,2019-02-20
97,0.985800,+0.001895,0.985800,+0.001895,2020-06-04
98,0.990100,+0.005400,0.990100,+0.005400,2018-11-09
98,0.989400,+0.004378,0.989400,+0.004378,2019-02-20
98,0.987300,+0.000968,0.987300,+0.000968,2021-02-26
99,0.980700,+0.004082,0.980700,+0.004082,2018-11-06
103,0.985100,+0.002262,0.985100,+0.002262,2019-02-04
103,0.983600,+0.002190,0.983600,+0.002190,2021-10-19
104,0.984700,+0.002773,0.984700,+0.002773,2019-02-04
106,0.981900,-0.000163,0.981900,-0.000163,2019-03-25
109,0.985200,+0.001953,0.985200,+0.001953,2019-03-25
110,0.987800,+0.005564,0.987800,+0.005564,2019-03-26
111,0.988000,-0.000586,0.988000,-0.000586,2019-02-11
112,0.988100,-0.002138,0.988100,-0.002138,2019-07-09
113,0.986000,+0.002527,0.986000,+0.002527,2019-07-15
114,0.986500,+0.002282,0.986500,+0.002282,2019-07-24
115,0.986200,+0.000944,0.986200,+0.000944,2019-07-24
116,0.986200,+0.002884,0.986200,+0.002884,2019-09-30
117,0.977700,+0.002248,0.977700,+0.002248,2019-10-22
118,0.984700,+0.005822,0.984700,+0.005822,2019-11-11
119,0.980900,-0.002006,0.980900,-0.002006,2019-11-01
120,0.984500,+0.002689,0.984500,+0.002689,2019-11-07
120,0.985900,+0.002210,0.985900,+0.002210,2021-02-18
120,0.984400,+0.002942,0.984400,+0.002942,2021-02-19
121,0.981600,+0.007284,0.981600,+0.007284,2019-11-19
122,0.988800,-0.000258,0.988800,-0.000258,2019-11-19
126,0.986100,+0.000598,0.986100,+0.000598,2019-12-13
127,0.980500,+0.002659,0.980500,+0.002659,2019-12-11
128,0.986000,-0.000554,0.986000,-0.000554,2019-12-11
130,0.983900,+0.002367,0.983900,+0.002367,2019-12-17
131,0.986900,-0.000480,0.986900,-0.000480,2020-01-20
132,0.983900,-0.001991,0.983900,-0.001991,2020-01-16
134,0.988800,+0.003688,0.988800,+0.003688,2020-03-17
136,0.987900,+0.004427,0.987900,+0.004427,2020-07-02
136,0.988100,+0.004911,0.988100,+0.004911,2021-02-16
136,0.989000,+0.005411,0.989000,+0.005411,2021-02-18
136,0.988100,+0.005162,0.988100,+0.005162,2021-02-19
136,0.990100,+0.005367,0.990100,+0.005367,2021-03-03
138,0.988300,+0.002182,0.988300,+0.002182,2020-03-11
138,0.987500,+0.003924,0.987500,+0.003924,2020-07-02
139,0.984500,+0.000714,0.984500,+0.000714,2021-01-25
140,0.985200,+0.002233,0.985200,+0.002233,2021-02-05
141,0.984100,+0.003084,0.984100,+0.003084,2021-02-12
142,0.993900,+0.002832,0.993900,+0.002832,2020-08-14
142,0.989000,+0.000884,0.989000,+0.000884,2021-04-23
143,0.987000,+0.000795,0.987000,+0.000795,2020-11-10
144,0.985900,-0.001597,0.985900,-0.001597,2020-11-13
145,0.985200,+0.000635,0.985200,+0.000635,2021-01-04
146,0.987500,+0.002578,0.987500,+0.002578,2021-01-04
147,0.986700,+0.002605,0.986700,+0.002605,2021-03-06
148,0.988400,-0.002023,0.988400,-0.002023,2021-04-23
149,0.986700,-0.001832,0.986700,-0.001832,2021-03-05
150,0.985000,-0.005994,0.985000,-0.005994,2021-03-22
150,0.986200,-0.006687,0.986200,-0.006687,2021-04-01
155,0.988700,+0.001532,0.988700,+0.001532,2021-05-06
155,0.991400,+0.000865,0.991400,+0.000865,2021-05-19
156,0.986700,+0.007324,0.986700,+0.007324,2021-09-05
